id,date,store_nbr,onpromotion_store,transactions
0,2013-01-02,48,0,3397
1,2013-01-03,48,0,2887
2,2013-01-04,48,0,2900
3,2013-01-05,48,0,4084
4,2013-01-06,48,0,4591
5,2013-01-07,48,0,2697
6,2013-01-08,48,0,2320
7,2013-01-09,48,0,2316
8,2013-01-10,48,0,2212
9,2013-01-11,48,0,2396
10,2013-01-12,48,0,3355
11,2013-01-13,48,0,3993
12,2013-01-14,48,0,2223
13,2013-01-15,48,0,2275
14,2013-01-16,48,0,2343
15,2013-01-17,48,0,2234
16,2013-01-18,48,0,2341
17,2013-01-19,48,0,3392
18,2013-01-20,48,0,4044
19,2013-01-21,48,0,2428
20,2013-01-22,48,0,2130
21,2013-01-23,48,0,2179
22,2013-01-24,48,0,1972
23,2013-01-25,48,0,2262
24,2013-01-26,48,0,3628
25,2013-01-27,48,0,3977
26,2013-01-28,48,0,2308
27,2013-01-29,48,0,2134
28,2013-01-30,48,0,2207
29,2013-01-31,48,0,2432
30,2013-02-01,48,0,2911
31,2013-02-02,48,0,4118
32,2013-02-03,48,0,4193
33,2013-02-04,48,0,2840
34,2013-02-05,48,0,2734
35,2013-02-06,48,0,2719
36,2013-02-07,48,0,2578
37,2013-02-08,48,0,2828
38,2013-02-09,48,0,3455
39,2013-02-10,48,0,3048
40,2013-02-11,48,0,2939
41,2013-02-12,48,0,3483
42,2013-02-13,48,0,2819
43,2013-02-14,48,0,3263
44,2013-02-15,48,0,2761
45,2013-02-16,48,0,3832
46,2013-02-17,48,0,3400
47,2013-02-18,48,0,2784
48,2013-02-19,48,0,2095
49,2013-02-20,48,0,2367
50,2013-02-21,48,0,2040
51,2013-02-22,48,0,2238
52,2013-02-23,48,0,3354
53,2013-02-24,48,0,3939
54,2013-02-25,48,0,2291
55,2013-02-26,48,0,2042
56,2013-02-27,48,0,2175
57,2013-02-28,48,0,2268
58,2013-03-01,48,0,2801
59,2013-03-02,48,0,4108
60,2013-03-03,48,0,4489
61,2013-03-04,48,0,2816
62,2013-03-05,48,0,2394
63,2013-03-06,48,0,2505
64,2013-03-07,48,0,2442
65,2013-03-08,48,0,2680
66,2013-03-09,48,0,3633
67,2013-03-10,48,0,4115
68,2013-03-11,48,0,2429
69,2013-03-12,48,0,2111
70,2013-03-13,48,0,2271
71,2013-03-14,48,0,2214
72,2013-03-15,48,0,2477
73,2013-03-16,48,0,3887
74,2013-03-17,48,0,4601
75,2013-03-18,48,0,2489
76,2013-03-19,48,0,2292
77,2013-03-20,48,0,2361
78,2013-03-21,48,0,2183
79,2013-03-22,48,0,2256
80,2013-03-23,48,0,3699
81,2013-03-24,48,0,3952
82,2013-03-25,48,0,2308
83,2013-03-26,48,0,2110
84,2013-03-27,48,0,2322
85,2013-03-28,48,0,2729
86,2013-03-29,48,0,3319
87,2013-03-30,48,0,3986
88,2013-03-31,48,0,4017
89,2013-04-01,48,0,2885
90,2013-04-02,48,0,2477
91,2013-04-03,48,0,2506
92,2013-04-04,48,0,2414
93,2013-04-05,48,0,2475
94,2013-04-06,48,0,3921
95,2013-04-07,48,0,4267
96,2013-04-08,48,0,2437
97,2013-04-09,48,0,2187
98,2013-04-10,48,0,2403
99,2013-04-11,48,0,2393
100,2013-04-12,48,0,2477
101,2013-04-13,48,0,3735
102,2013-04-14,48,0,4362
103,2013-04-15,48,0,2557
104,2013-04-16,48,0,2452
105,2013-04-17,48,0,2397
106,2013-04-18,48,0,2237
107,2013-04-19,48,0,2510
108,2013-04-20,48,0,3646
109,2013-04-21,48,0,4444
110,2013-04-22,48,0,2548
111,2013-04-23,48,0,2394
112,2013-04-24,48,0,2459
113,2013-04-25,48,0,2237
114,2013-04-26,48,0,2398
115,2013-04-27,48,0,3670
116,2013-04-28,48,0,4410
117,2013-04-29,48,0,2473
118,2013-04-30,48,0,2371
119,2013-05-01,48,0,4636
120,2013-05-02,48,0,2538
121,2013-05-03,48,0,2703
122,2013-05-04,48,0,4247
123,2013-05-05,48,0,4547
124,2013-05-06,48,0,2665
125,2013-05-07,48,0,2474
126,2013-05-08,48,0,2516
127,2013-05-09,48,0,2474
128,2013-05-10,48,0,2617
129,2013-05-11,48,0,4686
130,2013-05-12,48,0,4185
131,2013-05-13,48,0,2350
132,2013-05-14,48,0,2099
133,2013-05-15,48,0,2417
134,2013-05-16,48,0,2329
135,2013-05-17,48,0,2501
136,2013-05-18,48,0,3537
137,2013-05-19,48,0,4138
138,2013-05-20,48,0,2457
139,2013-05-21,48,0,2167
140,2013-05-22,48,0,2241
141,2013-05-23,48,0,2307
142,2013-05-24,48,0,2741
143,2013-05-25,48,0,3382
144,2013-05-26,48,0,3882
145,2013-05-27,48,0,2284
146,2013-05-28,48,0,2155
147,2013-05-29,48,0,2199
148,2013-05-30,48,0,2379
149,2013-05-31,48,0,2617
150,2013-06-01,48,0,4323
151,2013-06-02,48,0,4263
152,2013-06-03,48,0,2828
153,2013-06-04,48,0,2520
154,2013-06-05,48,0,2616
155,2013-06-06,48,0,2321
156,2013-06-07,48,0,2640
157,2013-06-08,48,0,3604
158,2013-06-09,48,0,4280
159,2013-06-10,48,0,2340
160,2013-06-11,48,0,1997
161,2013-06-12,48,0,2234
162,2013-06-13,48,0,2122
163,2013-06-14,48,0,2541
164,2013-06-15,48,0,4209
165,2013-06-16,48,0,4026
166,2013-06-17,48,0,2371
167,2013-06-18,48,0,2257
168,2013-06-19,48,0,2261
169,2013-06-20,48,0,2266
170,2013-06-21,48,0,2456
171,2013-06-22,48,0,3385
172,2013-06-23,48,0,3996
173,2013-06-24,48,0,2478
174,2013-06-25,48,0,2128
175,2013-06-26,48,0,2100
176,2013-06-27,48,0,2037
177,2013-06-28,48,0,2464
178,2013-06-29,48,0,3792
179,2013-06-30,48,0,4287
180,2013-07-01,48,0,2953
181,2013-07-02,48,0,2728
182,2013-07-03,48,0,2630
183,2013-07-04,48,0,2479
184,2013-07-05,48,0,2604
185,2013-07-06,48,0,3710
186,2013-07-07,48,0,4084
187,2013-07-08,48,0,2527
188,2013-07-09,48,0,2246
189,2013-07-10,48,0,2328
190,2013-07-11,48,0,2259
191,2013-07-12,48,0,2405
192,2013-07-13,48,0,3503
193,2013-07-14,48,0,3715
194,2013-07-15,48,0,2686
195,2013-07-16,48,0,2471
196,2013-07-17,48,0,2440
197,2013-07-18,48,0,2395
198,2013-07-19,48,0,2409
199,2013-07-20,48,0,3312
200,2013-07-21,48,0,3744
201,2013-07-22,48,0,2539
202,2013-07-23,48,0,2385
203,2013-07-24,48,0,2460
204,2013-07-25,48,0,2415
205,2013-07-26,48,0,2479
206,2013-07-27,48,0,3402
207,2013-07-28,48,0,3767
208,2013-07-29,48,0,2388
209,2013-07-30,48,0,2325
210,2013-07-31,48,0,2764
211,2013-08-01,48,0,2972
212,2013-08-02,48,0,2672
213,2013-08-03,48,0,3800
214,2013-08-04,48,0,4225
215,2013-08-05,48,0,2896
216,2013-08-06,48,0,2656
217,2013-08-07,48,0,2725
218,2013-08-08,48,0,2392
219,2013-08-09,48,0,2763
220,2013-08-10,48,0,3354
221,2013-08-11,48,0,3871
222,2013-08-12,48,0,2610
223,2013-08-13,48,0,2368
224,2013-08-14,48,0,2516
225,2013-08-15,48,0,2716
226,2013-08-16,48,0,2977
227,2013-08-17,48,0,3576
228,2013-08-18,48,0,3785
229,2013-08-19,48,0,2657
230,2013-08-20,48,0,2527
231,2013-08-21,48,0,2592
232,2013-08-22,48,0,2453
233,2013-08-23,48,0,2721
234,2013-08-24,48,0,3463
235,2013-08-25,48,0,3879
236,2013-08-26,48,0,2642
237,2013-08-27,48,0,2311
238,2013-08-28,48,0,2473
239,2013-08-29,48,0,2414
240,2013-08-30,48,0,2707
241,2013-08-31,48,0,3894
242,2013-09-01,48,0,4640
243,2013-09-02,48,0,3046
244,2013-09-03,48,0,2846
245,2013-09-04,48,0,2828
246,2013-09-05,48,0,2595
247,2013-09-06,48,0,2543
248,2013-09-07,48,0,3970
249,2013-09-08,48,0,4771
250,2013-09-09,48,0,2559
251,2013-09-10,48,0,2239
252,2013-09-11,48,0,2424
253,2013-09-12,48,0,2199
254,2013-09-13,48,0,2364
255,2013-09-14,48,0,3692
256,2013-09-15,48,0,4097
257,2013-09-16,48,0,2616
258,2013-09-17,48,0,2312
259,2013-09-18,48,0,2246
260,2013-09-19,48,0,2211
261,2013-09-20,48,0,2272
262,2013-09-21,48,0,3551
263,2013-09-22,48,0,4172
264,2013-09-23,48,0,2518
265,2013-09-24,48,0,2152
266,2013-09-25,48,0,2222
267,2013-09-26,48,0,2058
268,2013-09-27,48,0,2346
269,2013-09-28,48,0,3648
270,2013-09-29,48,0,4354
271,2013-09-30,48,0,2512
272,2013-10-01,48,0,2759
273,2013-10-02,48,0,2810
274,2013-10-03,48,0,2531
275,2013-10-04,48,0,2625
276,2013-10-05,48,0,4074
277,2013-10-06,48,0,4523
278,2013-10-07,48,0,2571
279,2013-10-08,48,0,2306
280,2013-10-09,48,0,2320
281,2013-10-10,48,0,2181
282,2013-10-11,48,0,3426
283,2013-10-12,48,0,3575
284,2013-10-13,48,0,3786
285,2013-10-14,48,0,2322
286,2013-10-15,48,0,2144
287,2013-10-16,48,0,2440
288,2013-10-17,48,0,2286
289,2013-10-18,48,0,2262
290,2013-10-19,48,0,3625
291,2013-10-20,48,0,4348
292,2013-10-21,48,0,2496
293,2013-10-22,48,0,2164
294,2013-10-23,48,0,2236
295,2013-10-24,48,0,2208
296,2013-10-25,48,0,2278
297,2013-10-26,48,0,3506
298,2013-10-27,48,0,4083
299,2013-10-28,48,0,2291
300,2013-10-29,48,0,2014
301,2013-10-30,48,0,2250
302,2013-10-31,48,0,2361
303,2013-11-01,48,0,2714
304,2013-11-02,48,0,4045
305,2013-11-03,48,0,4596
306,2013-11-04,48,0,2805
307,2013-11-05,48,0,2492
308,2013-11-06,48,0,2547
309,2013-11-07,48,0,2405
310,2013-11-08,48,0,2579
311,2013-11-09,48,0,3877
312,2013-11-10,48,0,4525
313,2013-11-11,48,0,2565
314,2013-11-12,48,0,2215
315,2013-11-13,48,0,2296
316,2013-11-14,48,0,2133
317,2013-11-15,48,0,2523
318,2013-11-16,48,0,3923
319,2013-11-17,48,0,4364
320,2013-11-18,48,0,2621
321,2013-11-19,48,0,2328
322,2013-11-20,48,0,2421
323,2013-11-21,48,0,2305
324,2013-11-22,48,0,2357
325,2013-11-23,48,0,3771
326,2013-11-24,48,0,4558
327,2013-11-25,48,0,2598
328,2013-11-26,48,0,2274
329,2013-11-27,48,0,2303
330,2013-11-28,48,0,2318
331,2013-11-29,48,0,2629
332,2013-11-30,48,0,4136
333,2013-12-01,48,0,4838
334,2013-12-02,48,0,3211
335,2013-12-03,48,0,2897
336,2013-12-04,48,0,2755
337,2013-12-05,48,0,2752
338,2013-12-06,48,0,3744
339,2013-12-07,48,0,4343
340,2013-12-08,48,0,4575
341,2013-12-09,48,0,2874
342,2013-12-10,48,0,2623
343,2013-12-11,48,0,2766
344,2013-12-12,48,0,2743
345,2013-12-13,48,0,3088
346,2013-12-14,48,0,4426
347,2013-12-15,48,0,5043
348,2013-12-16,48,0,3746
349,2013-12-17,48,0,3492
350,2013-12-18,48,0,3891
351,2013-12-19,48,0,4632
352,2013-12-20,48,0,4226
353,2013-12-21,48,0,5821
354,2013-12-22,48,0,6264
355,2013-12-23,48,0,6803
356,2013-12-24,48,0,6665
357,2013-12-26,48,0,4401
358,2013-12-27,48,0,4076
359,2013-12-28,48,0,4762
360,2013-12-29,48,0,4730
361,2013-12-30,48,0,5295
362,2013-12-31,48,0,4728
363,2014-01-02,48,0,3643
364,2014-01-03,48,0,3240
365,2014-01-04,48,0,4581
366,2014-01-05,48,0,4701
367,2014-01-06,48,0,2837
368,2014-01-07,48,0,2605
369,2014-01-08,48,0,2636
370,2014-01-09,48,0,2448
371,2014-01-10,48,0,2587
372,2014-01-11,48,0,3850
373,2014-01-12,48,0,4383
374,2014-01-13,48,0,2666
375,2014-01-14,48,0,2324
376,2014-01-15,48,0,2603
377,2014-01-16,48,0,2611
378,2014-01-17,48,0,2670
379,2014-01-18,48,0,3724
380,2014-01-19,48,0,4258
381,2014-01-20,48,0,2681
382,2014-01-21,48,0,2417
383,2014-01-22,48,0,2497
384,2014-01-23,48,0,2428
385,2014-01-24,48,0,2662
386,2014-01-25,48,0,3658
387,2014-01-26,48,0,4186
388,2014-01-27,48,0,2453
389,2014-01-28,48,0,2372
390,2014-01-29,48,0,2291
391,2014-01-30,48,0,2401
392,2014-01-31,48,0,2948
393,2014-02-01,48,0,4462
394,2014-02-02,48,0,4715
395,2014-02-03,48,0,3292
396,2014-02-04,48,0,3051
397,2014-02-05,48,0,2999
398,2014-02-06,48,0,2920
399,2014-02-07,48,0,2910
400,2014-02-08,48,0,3897
401,2014-02-09,48,0,3999
402,2014-02-10,48,0,2993
403,2014-02-11,48,0,2647
404,2014-02-12,48,0,2964
405,2014-02-13,48,0,2894
406,2014-02-14,48,0,3538
407,2014-02-15,48,0,4020
408,2014-02-16,48,0,4372
409,2014-02-17,48,0,2843
410,2014-02-18,48,0,2522
411,2014-02-19,48,0,2467
412,2014-02-20,48,0,2409
413,2014-02-21,48,0,2649
414,2014-02-22,48,0,4000
415,2014-02-23,48,0,3770
416,2014-02-24,48,0,2851
417,2014-02-25,48,0,2373
418,2014-02-26,48,0,2405
419,2014-02-27,48,0,2331
420,2014-02-28,48,0,2946
421,2014-03-01,48,0,4281
422,2014-03-02,48,0,3763
423,2014-03-03,48,0,3555
424,2014-03-04,48,0,4168
425,2014-03-05,48,0,2884
426,2014-03-06,48,0,2859
427,2014-03-07,48,0,2902
428,2014-03-08,48,0,3901
429,2014-03-09,48,0,4677
430,2014-03-10,48,0,2588
431,2014-03-11,48,0,2389
432,2014-03-12,48,0,2522
433,2014-03-13,48,0,2307
434,2014-03-14,48,0,2674
435,2014-03-15,48,0,3839
436,2014-03-16,48,0,4750
437,2014-03-17,48,0,2802
438,2014-03-18,48,0,2413
439,2014-03-19,48,0,2510
440,2014-03-20,48,0,2424
441,2014-03-21,48,0,2807
442,2014-03-22,48,0,3800
443,2014-03-23,48,0,4478
444,2014-03-24,48,0,2688
445,2014-03-25,48,0,2456
446,2014-03-26,48,0,2573
447,2014-03-27,48,0,2344
448,2014-03-28,48,0,2785
449,2014-03-29,48,0,4213
450,2014-03-30,48,0,4500
451,2014-03-31,48,0,3094
452,2014-04-01,48,0,3143
453,2014-04-02,48,0,3000
454,2014-04-03,48,0,2829
455,2014-04-04,48,0,2954
456,2014-04-05,48,0,4457
457,2014-04-06,48,0,4846
458,2014-04-07,48,0,3013
459,2014-04-08,48,0,2516
460,2014-04-09,48,0,2607
461,2014-04-10,48,0,2692
462,2014-04-11,48,0,2706
463,2014-04-12,48,0,3982
464,2014-04-13,48,0,4359
465,2014-04-14,48,0,2867
466,2014-04-15,48,0,2540
467,2014-04-16,48,0,2842
468,2014-04-17,48,0,3098
469,2014-04-18,48,0,3720
470,2014-04-19,48,0,4223
471,2014-04-20,48,0,4535
472,2014-04-21,48,0,2905
473,2014-04-22,48,0,2633
474,2014-04-23,48,0,2588
475,2014-04-24,48,0,2506
476,2014-04-25,48,0,2597
477,2014-04-26,48,0,3818
478,2014-04-27,48,0,4787
479,2014-04-28,48,0,2695
480,2014-04-29,48,0,2427
481,2014-04-30,48,0,2623
482,2014-05-01,48,0,4496
483,2014-05-02,48,0,3091
484,2014-05-03,48,0,4413
485,2014-05-04,48,0,4675
486,2014-05-05,48,0,3020
487,2014-05-06,48,0,2702
488,2014-05-07,48,0,2858
489,2014-05-08,48,0,2667
490,2014-05-09,48,0,3035
491,2014-05-10,48,0,4931
492,2014-05-11,48,0,4766
493,2014-05-12,48,0,2661
494,2014-05-13,48,0,2482
495,2014-05-14,48,0,2508
496,2014-05-15,48,0,2498
497,2014-05-16,48,0,2732
498,2014-05-17,48,0,4035
499,2014-05-18,48,0,4831
500,2014-05-19,48,0,2808
501,2014-05-20,48,0,2485
502,2014-05-21,48,0,2582
503,2014-05-22,48,0,2298
504,2014-05-23,48,0,2647
505,2014-05-24,48,0,3840
506,2014-05-25,48,0,4408
507,2014-05-26,48,0,2567
508,2014-05-27,48,0,2360
509,2014-05-28,48,0,2417
510,2014-05-29,48,0,2437
511,2014-05-30,48,0,2715
512,2014-05-31,48,0,4329
513,2014-06-01,48,0,5020
514,2014-06-02,48,0,3164
515,2014-06-03,48,0,2886
516,2014-06-04,48,0,2780
517,2014-06-05,48,0,2729
518,2014-06-06,48,0,2852
519,2014-06-07,48,0,4033
520,2014-06-08,48,0,4651
521,2014-06-09,48,0,2655
522,2014-06-10,48,0,2413
523,2014-06-11,48,0,2509
524,2014-06-12,48,0,2482
525,2014-06-13,48,0,2807
526,2014-06-14,48,0,4435
527,2014-06-15,48,0,3981
528,2014-06-16,48,0,2813
529,2014-06-17,48,28,2501
530,2014-06-18,48,25,2463
531,2014-06-19,48,31,2414
532,2014-06-20,48,191,2630
533,2014-06-21,48,17,3762
534,2014-06-22,48,22,4169
535,2014-06-23,48,14,2574
536,2014-06-24,48,16,2334
537,2014-06-25,48,12,2852
538,2014-06-26,48,18,2338
539,2014-06-27,48,178,2609
540,2014-06-28,48,18,3596
541,2014-06-29,48,18,4077
542,2014-06-30,48,16,2884
543,2014-07-01,48,20,2960
544,2014-07-02,48,183,3261
545,2014-07-03,48,15,2953
546,2014-07-04,48,179,2945
547,2014-07-05,48,33,4015
548,2014-07-06,48,25,4434
549,2014-07-07,48,23,2858
550,2014-07-08,48,16,2519
551,2014-07-09,48,184,2445
552,2014-07-10,48,22,2471
553,2014-07-11,48,183,2619
554,2014-07-12,48,14,3698
555,2014-07-13,48,28,3813
556,2014-07-14,48,24,2705
557,2014-07-15,48,16,2735
558,2014-07-16,48,181,2731
559,2014-07-17,48,20,2655
560,2014-07-18,48,193,2807
561,2014-07-19,48,27,3704
562,2014-07-20,48,11,3994
563,2014-07-21,48,25,2745
564,2014-07-22,48,19,2611
565,2014-07-23,48,182,2601
566,2014-07-24,48,16,2514
567,2014-07-25,48,183,2728
568,2014-07-26,48,15,3427
569,2014-07-27,48,28,3867
570,2014-07-28,48,19,2648
571,2014-07-29,48,15,2244
572,2014-07-30,48,195,2522
573,2014-07-31,48,9,2776
574,2014-08-01,48,186,3319
575,2014-08-02,48,17,4262
576,2014-08-03,48,11,4521
577,2014-08-04,48,13,3329
578,2014-08-05,48,7,2918
579,2014-08-06,48,18,2901
580,2014-08-07,48,19,2771
581,2014-08-08,48,184,2819
582,2014-08-09,48,20,3528
583,2014-08-10,48,22,3838
584,2014-08-11,48,18,2824
585,2014-08-12,48,17,2455
586,2014-08-13,48,18,2652
587,2014-08-14,48,34,2659
588,2014-08-15,48,184,3010
589,2014-08-16,48,24,3768
590,2014-08-17,48,19,4251
591,2014-08-18,48,14,3001
592,2014-08-19,48,16,2839
593,2014-08-20,48,10,2972
594,2014-08-21,48,15,2770
595,2014-08-22,48,189,2972
596,2014-08-23,48,19,3785
597,2014-08-24,48,31,4059
598,2014-08-25,48,15,2893
599,2014-08-26,48,30,2588
600,2014-08-27,48,20,2773
601,2014-08-28,48,8,2591
602,2014-08-29,48,184,2858
603,2014-08-30,48,9,4262
604,2014-08-31,48,14,4766
605,2014-09-01,48,8,3515
606,2014-09-02,48,24,3163
607,2014-09-03,48,179,3094
608,2014-09-04,48,14,2792
609,2014-09-05,48,181,2911
610,2014-09-06,48,16,4289
611,2014-09-07,48,12,5151
612,2014-09-08,48,26,3026
613,2014-09-09,48,21,2553
614,2014-09-10,48,187,2676
615,2014-09-11,48,21,2489
616,2014-09-12,48,203,2631
617,2014-09-13,48,21,3825
618,2014-09-14,48,29,4610
619,2014-09-15,48,17,2850
620,2014-09-16,48,21,2609
621,2014-09-17,48,171,2464
622,2014-09-18,48,8,1833
623,2014-09-19,48,174,2600
624,2014-09-20,48,19,3928
625,2014-09-21,48,23,4572
626,2014-09-22,48,13,2654
627,2014-09-23,48,18,2543
628,2014-09-24,48,176,2581
629,2014-09-25,48,35,2288
630,2014-09-26,48,191,2437
631,2014-09-27,48,28,3835
632,2014-09-28,48,26,4654
633,2014-09-29,48,11,2526
634,2014-09-30,48,16,2628
635,2014-10-01,48,189,3084
636,2014-10-02,48,20,2859
637,2014-10-03,48,197,3100
638,2014-10-04,48,30,4331
639,2014-10-05,48,18,5056
640,2014-10-06,48,23,2975
641,2014-10-07,48,23,2695
642,2014-10-08,48,198,2624
643,2014-10-09,48,15,2336
644,2014-10-10,48,199,3808
645,2014-10-11,48,25,4197
646,2014-10-12,48,16,4364
647,2014-10-13,48,18,2522
648,2014-10-14,48,32,2331
649,2014-10-15,48,187,2471
650,2014-10-16,48,18,2327
651,2014-10-17,48,191,2569
652,2014-10-18,48,21,3837
653,2014-10-19,48,20,4376
654,2014-10-20,48,43,2703
655,2014-10-21,48,28,2310
656,2014-10-22,48,189,2327
657,2014-10-23,48,13,2246
658,2014-10-24,48,189,2508
659,2014-10-25,48,39,3896
660,2014-10-26,48,51,4497
661,2014-10-27,48,13,2447
662,2014-10-28,48,15,2187
663,2014-10-29,48,191,2228
664,2014-10-30,48,25,2215
665,2014-10-31,48,193,2703
666,2014-11-01,48,33,3881
667,2014-11-02,48,38,3615
668,2014-11-03,48,22,4625
669,2014-11-04,48,16,2724
670,2014-11-05,48,197,2876
671,2014-11-06,48,20,2564
672,2014-11-07,48,201,2650
673,2014-11-08,48,29,3904
674,2014-11-09,48,34,4575
675,2014-11-10,48,13,2465
676,2014-11-11,48,28,2324
677,2014-11-12,48,186,2434
678,2014-11-13,48,16,2330
679,2014-11-14,48,205,2600
680,2014-11-15,48,47,3702
681,2014-11-16,48,43,4286
682,2014-11-17,48,26,2640
683,2014-11-18,48,38,2366
684,2014-11-19,48,217,2305
685,2014-11-20,48,56,2401
686,2014-11-21,48,204,2673
687,2014-11-22,48,53,3609
688,2014-11-23,48,56,4370
689,2014-11-24,48,39,2532
690,2014-11-25,48,40,2295
691,2014-11-26,48,208,2379
692,2014-11-27,48,40,2223
693,2014-11-28,48,222,2723
694,2014-11-29,48,69,4125
695,2014-11-30,48,53,4810
696,2014-12-01,48,51,3185
697,2014-12-02,48,53,2979
698,2014-12-03,48,208,2866
699,2014-12-04,48,70,2595
700,2014-12-05,48,205,2968
701,2014-12-06,48,45,4043
702,2014-12-07,48,55,4696
703,2014-12-08,48,40,3017
704,2014-12-09,48,82,2690
705,2014-12-10,48,232,2925
706,2014-12-11,48,93,2747
707,2014-12-12,48,222,3024
708,2014-12-13,48,36,4752
709,2014-12-14,48,60,4873
710,2014-12-15,48,50,3470
711,2014-12-16,48,61,3423
712,2014-12-17,48,221,3587
713,2014-12-18,48,36,3771
714,2014-12-19,48,215,3922
715,2014-12-20,48,87,5129
716,2014-12-21,48,64,5722
717,2014-12-22,48,56,5719
718,2014-12-23,48,68,6205
719,2014-12-24,48,242,6521
720,2014-12-26,48,237,5251
721,2014-12-27,48,100,4647
722,2014-12-28,48,79,4537
723,2014-12-29,48,73,4165
724,2014-12-30,48,60,4801
725,2014-12-31,48,232,4396
726,2015-01-02,48,219,4474
727,2015-01-03,48,68,4306
728,2015-01-04,48,50,4636
729,2015-01-05,48,56,3251
730,2015-01-06,48,72,2919
731,2015-01-07,48,84,2950
732,2015-01-08,48,50,2692
733,2015-01-09,48,209,2722
734,2015-01-10,48,44,3785
735,2015-01-11,48,46,4540
736,2015-01-12,48,48,2668
737,2015-01-13,48,61,2417
738,2015-01-14,48,60,2626
739,2015-01-15,48,32,2515
740,2015-01-16,48,196,2688
741,2015-01-17,48,48,3925
742,2015-01-18,48,24,4284
743,2015-01-19,48,23,2654
744,2015-01-20,48,35,2424
